date,time,latitude,longitude,altitude
2023-06-07,06:51:57,39.5075,-121.67305555555556,104
2023-06-07,07:03:55,39.5075,-121.67305555555556,107
2023-06-07,07:05:59,39.507777777777775,-121.67305555555556,151
2023-06-07,07:15:03,39.507777777777775,-121.67333333333333,121
2023-06-07,07:17:04,39.507777777777775,-121.67305555555556,142
2023-06-07,07:22:05,39.50805555555556,-121.67333333333333,171
2023-06-07,07:23:07,39.507777777777775,-121.67333333333333,114
2023-06-07,07:36:30,39.507777777777775,-121.67305555555556,142
2023-06-07,08:11:05,39.507777777777775,-121.67305555555556,101
2023-06-07,08:36:09,39.5075,-121.67277777777778,102
2023-06-07,08:37:27,39.50972222222222,-121.67694444444444,458
2023-06-07,08:39:10,39.51111111111111,-121.69,2011
2023-06-07,08:42:59,39.52111111111111,-121.68972222222223,2608
2023-06-07,08:44:57,39.522777777777776,-121.70277777777778,4289
2023-06-07,09:50:13,39.53,-121.82416666666667,26245
2023-06-07,09:53:13,39.44333333333333,-121.60416666666666,68139
2023-06-07,11:11:24,39.35527777777778,-122.03999999999999,64331
2023-06-07,11:12:31,39.35861111111112,-122.03805555555556,64986
2023-06-07,11:13:39,39.35111111111111,-122.0475,65625
2023-06-07,11:14:45,39.35527777777778,-122.05222222222223,66337
2023-06-07,11:15:49,39.36,-122.05722222222222,66817
2023-06-07,11:18:04,39.60027777777778,-122.70972222222223,91524
2023-06-07,11:34:50,39.38638888888889,-122.1275,77440
2023-06-07,11:58:18,39.403055555555554,-122.22361111111111,89849
2023-06-07,11:59:18,39.40611111111111,-122.22888888888889,90280
2023-06-07,12:07:23,39.415,-122.26361111111112,94011
2023-06-07,12:08:25,39.418055555555554,-122.26944444444445,94339
2023-06-07,12:09:28,39.421388888888885,-122.27388888888889,94633
2023-06-07,12:19:01,39.4275,-122.29916666666666,98167
2023-06-07,12:20:02,39.42611111111111,-122.30833333333334,98592
2023-06-07,12:22:10,39.42166666666667,-122.32,99240
2023-06-07,12:23:12,39.419444444444444,-122.32194444444444,99301
2023-06-07,12:37:04,39.44944444444444,-122.4075,102111
2023-06-07,12:41:37,39.46694444444445,-122.42333333333333,102649
2023-06-07,12:44:43,39.477500000000006,-122.4363888888889,99933
2023-06-07,12:45:49,39.477222222222224,-122.44388888888889,90235
2023-06-07,12:46:50,39.468333333333334,-122.44833333333334,81902
2023-06-07,12:47:53,39.470555555555556,-122.45694444444445,74789
2023-06-07,12:49:52,39.475,-122.4563888888889,63495
2023-06-07,12:50:53,39.47527777777778,-122.46027777777778,58506
2023-06-07,12:54:03,39.47777777777778,-122.46277777777777,45713
2023-06-07,12:55:16,39.47694444444445,-122.46694444444445,41514
2023-06-07,12:56:20,39.47,-122.47194444444445,37956
2023-06-07,12:57:22,39.47138888888889,-122.47361111111111,34776
2023-06-07,12:59:29,39.459999999999994,-122.46666666666667,28829
2023-06-07,13:03:47,39.4375,-122.47555555555556,17830
2023-06-07,13:05:53,39.446666666666665,-122.48194444444445,13072
2023-06-07,13:06:55,39.451388888888886,-122.48666666666666,10716
2023-06-07,13:07:59,39.454166666666666,-122.48777777777778,8382
2023-06-07,13:11:11,39.449999999999996,-122.48277777777778,2202
2023-06-07,13:17:43,39.45027777777778,-122.48388888888888,1344
2023-06-07,13:36:55,39.45055555555555,-122.48388888888888,1410
2023-06-07,13:45:11,39.45027777777778,-122.48444444444445,1434
2023-06-07,13:48:20,39.45055555555555,-122.48416666666667,1337
2023-06-07,13:50:23,39.449999999999996,-122.48472222222222,1434
2023-06-07,13:58:43,39.449999999999996,-122.48416666666667,1386
2023-06-07,15:39:36,39.34777777777778,-122.47111111111111,1422
